headline,label
ಫಿಫಾ ವಿಶ್ವಕಪ್ ಫೈನಲ್: ಅತಿರೇಕಕ್ಕೇರಿದ ಸಂಭ್ರಮಾಚರಣೆ; ಅಭಿಮಾನಿಗಳ ಹುಚ್ಚು ವರ್ತನೆಗೆ ವ್ಯಾಪಕ ಖಂಡನೆ,sports
ಫಿಫಾ ವಿಶ್ವಕಪ್ 2018: ಮೊದಲ ಕ್ವಾರ್ಟರ್​ ಫೈನಲ್​ನಲ್ಲಿ ಫ್ರಾನ್ಸ್​​-ಉರುಗ್ವೆ ಸೆಣೆಸಾಟ,sports
Video: ಸುಹಾನಾ ಬೋಲ್ಡ್​ ಲುಕ್‍ಗೆ ಫ್ಯಾನ್ಸ್ ಫಿದಾ: ಮಗಳ ಫೋಟೋ ಇರೋ ನಿಯತಕಾಲಿಕೆ ಬಿಡುಗಡೆ ಮಾಡಿದ ಶಾರುಖ್​,entertainment
ಪುನೀತ್​ ಬ್ಯಾನರ್​ನಲ್ಲಿ ಮೂರನೇ ಸಿನಿಮಾ; ಹೆಸರಿಡದ ಸಿನಿಮಾಗೆ ಡ್ಯಾನೀಶ್​ ಸೇಠ್​ ಹೀರೋ,entertainment
ಹೊಸ ಫೀಚರ್: ವಾಟ್ಸಪ್​ ಮೆಸೇಜ್​ಗೆ ರಿಪ್ಲೈ ಮಾಡುವುದು ಈಗ ಮತ್ತಷ್ಟು ಸುಲಭ,tech
ಶ್ರೀಮುರಳಿಗೆ 37ನೇ ಜನ್ಮದಿನದ ಸಂಭ್ರಮ; ‘ರೋರಿಂಗ್ ಸ್ಟಾರ್’ ಬೆಂಬಲಕ್ಕೆ ನಿಂತ ‘ಚಾಲೆಂಜಿಂಗ್ ಸ್ಟಾರ್’,entertainment
"India vs Australia, Live Cricket Score: ಭಾರತಕ್ಕೆ ಭರ್ಜರಿ ಜಯ: ಸರಣಿ ಗೆಲುವಿನ ಆಸೆ ಜೀವಂತ",sports
"ಬಳ್ಳಾರಿಯ ಜಿಂದಾಲ್ ನಲ್ಲಿ ಅಪ್ಪು ಪ್ರತ್ಯಕ್ಷ , ನಾನೇ ರಾಜಕುಮಾರ ಹಾಡು ಹಾಡಿ ರಂಜಿಸಿ ಅಪ್ಪು",entertainment
ಮೊದಲ ಸಿನಿಮಾದಿಂದ ಬಂದ ಲಕ್ಷ ರೂಪಾಯಿಯನ್ನು ಗ್ರಾಮದ ಅಭಿವೃದ್ಧಿಗೆ ನೀಡಿದ  ತುಮಕೂರಿನ 14 ವರ್ಷದ ಪೋರಿ,entertainment
ಯಾರಾಗಲಿದ್ದಾರೆ ಚಂದನವನದ ಮತ್ತೊಬ್ಬ 'ಪರಶುರಾಮ'..!,entertainment
ಚಾಲೆಂಜಿಂಗ್ ಸ್ಟಾರ್ ದರ್ಶನ್ ಶೀಘ್ರ ಗುಣಮುಖರಾಗಲು ಶಾಲಾ ಮಕ್ಕಳಿಂದ ಪ್ರಾರ್ಥನೆ,entertainment
ಆನಂದ್​-ಸೋನಮ್​ ವಿವಾಹ: ಕೆಂಪು ಬಣ್ಣದ ಲೆಹೆಂಗ-ಚೋಲಿಯಲ್ಲಿ ಮಿಂಚುತ್ತಿದ್ದ ಮಧುಮಗಳು,entertainment
ಗೋಲ್ಡನ್​ ಸ್ಟಾರ್​ ಗಣೇಶ್​ 'ಗೀತಾ' ಸಿನಿಮಾದ ಫಸ್ಟ್​ಲುಕ್​ ರಿಲೀಸ್​,entertainment
ಸೋನಮ್​ -ಆನಂದ್​ ವಿವಾಹದ ಅಪರೂಪದ ಕೆಲ ಚಿತ್ರಗಳು,entertainment
ಸೆಂಚುರಿಯನ್ ಟೆಸ್ಟ್​ನಲ್ಲಿ ಭಾರತಕ್ಕೆ 135 ರನ್​ಗಳ ಸೋಲು: ದಕ್ಷಿಣ ಆಫ್ರಿಕಾ ವಿರುದ್ಧ ಟೆಸ್ಟ್ ಸರಣಿ ಸೋಲು,sports
ಏಷ್ಯನ್ ಗೇಮ್ಸ್ 2018: ಕಬಡ್ಡಿ ಸೆಮಿಫೈನಲ್​​ನಲ್ಲಿ ಭಾರತಕ್ಕೆ ಸೋಲು; ಇತಿಹಾಸ ನಿರ್ಮಿಸಿದ ಇರಾನ್,sports
ATM ನಲ್ಲಿ ಹಣ ಸಿಲುಕಿದ್ರೆ ಹಿಂಪಡೆಯುವುದು ಈಗ ಮತ್ತಷ್ಟು ಸುಲಭ,tech
2018 ಫೋರ್ಬ್ ಪಟ್ಟಿ ಬಿಡುಗಡೆ: ಕ್ರೀಡಾ ಕ್ಷೇತ್ರದ ಕೋಟಿ ಸ್ಟಾರ್​​ಗಳು ಇವರೆ ನೋಡಿ..!,sports
ಸರ್ಜಾ ಮಗಳ ಬೆನ್ನು ಮುಟ್ಟಿದ್ದರಂತೆ ಚೇತನ್​!; ಐಶ್ವರ್ಯಾ ಅವರಿಂದ ಹೊಸ ಆರೋಪ,entertainment
ಆ್ಯಪಲ್ ಹೊಸ ಇತಿಹಾಸ – ಒಂದು ಟ್ರಿಲಿಯನ್ ಡಾಲರ್ ಮುಟ್ಟಿದ ವಿಶ್ವದ ಮೊದಲ ಕಂಪನಿ,tech
ಸಿನಿಮಾ ಆಗಲಿದೆ ಪೈಲಟ್ ಅಭಿನಂದನ್​ ಕತೆ; ಟೈಟಲ್​ ಹುಡುಕಾಟದಲ್ಲಿ ಬ್ಯುಸಿಯಾದ ಬಾಲಿವುಡ್​ ನಿರ್ಮಾಪಕರು,entertainment
ಸಲ್ಮಾನ್​ ಇನ್ನೂ ಮದುವೆ ಆಗದಿರಲು ಶಾರುಖ್ ಖಾನ್​ ಕಾರಣವಂತೆ..!,entertainment
'ದಿ ವಿಲನ್​' ಸಿನಿಮಾಗೆ ಅಡ್ವಾನ್ಸ್​ ಟಿಕೆಟ್​ ಬುಕಿಂಗ್​ ಆರಂಭ..!,entertainment
ಮತ್ತೊಂದು ಮಗುವಿನ ಅಮ್ಮನಾಗಲಿದ್ದಾರಾ ಕರೀನಾ?,entertainment
ದೀಪಿಕಾ-ರಣವೀರ್ ಮದುವೆಗೆ ದಿನಾಂಕ ಫಿಕ್ಸ್: ವರ್ಷಾಂತ್ಯಕ್ಕೆ ನಡೆಯಲಿದೆ ಸ್ಟಾರ್​ ಜೋಡಿಯ ವಿವಾಹ,entertainment
"ಮೋಟೊ ಒನ್​ ಪವರ್​ ಚಿತ್ರಗಳು ಲೀಕ್​, ಇಲ್ಲಿದೆ ಹೊಸ ಮೊಬೈಲ್ ಕುರಿತು​ ಮಾಹಿತಿ",tech
'ನಟ ಸಾರ್ವಭೌಮ'ನಿಗಿಲ್ಲ ಐಟಿ ದಾಳಿಯ ಅಡ್ಡಿ ಎಂದ ಪವನ್​ ಒಡೆಯರ್​: ಪುನೀತ್​ ಹೊಸ ಸಿನಿಮಾಕ್ಕೆ ಬಿತ್ತು ಬ್ರೇಕ್​..!,entertainment
ಟ್ರಾಯ್ ರಿಪೋರ್ಟ್; 4ಜಿ ಡೌನ್​ಲೋಡ್ ಸ್ಪೀಡ್​ನಲ್ಲಿ ಜಿಯೋಗಿಲ್ಲ ಸರಿಸಾಟಿ,tech
ಬೆಸ್ಟ್​ ಕ್ಯಾಮೆರಾ ಫೋನ್​ ಶಿಯೋಮಿಯವರ ನೂತನ Mi A2,tech
ಕಾರು ಅಪಘಾತ: ಅಂತರಾಷ್ಟ್ರೀಯ ಅಥ್ಲೀಟ್ ಅರ್ಜುನ್ ಅಪಾಯಾದಿಂದ ಪಾರು,sports
ಕೆಐಎ ಸೂಪರ್ ಲೀಗ್​ನಲ್ಲಿ ಶತಕದ ಮಂದಹಾಸ ಬೀರಿದ ಸ್ಮೃತಿ ಮಂದಾನ: ವೆಸ್ಟರ್ನ್ ಸ್ಟೋಮ್ ತಂಡಕ್ಕೆ ಗೆಲುವು,sports
ದಕ್ಷಿಣ ಆಫ್ರಿಕಾ ವಿರುದ್ಧ ಏಕದಿನ ಸರಣಿ ಗೆದ್ದ ಭಾರತದ ವನಿತೆಯರು,sports
ರಣಜಿ ಕ್ವಾರ್ಟರ್ ಫೈನಲ್: ವಿನಯ್ ಕುಮಾರ್ ಸಮಯೋಚಿತ ಆಟ: ಕರ್ನಾಟಕಕ್ಕೆ ಅಲ್ಪ ಮುನ್ನಡೆ,sports
(VIDEO): 4.2 ಕೋಟಿಗೆ ಆರ್​ಸಿಬಿ ಸೇರುತ್ತಿದ್ದಂತೆ ವಿಂಡೀಸ್​​​ ಬ್ಯಾಟ್ಸ್​ಮನ್​​​ ಮಾಡಿದ್ದೇನು ನೋಡಿ,sports
ಕಬಡ್ಡಿ ಮಾಸ್ಟರ್ಸ್ 2018​: ಪಾಕ್ ವಿರುದ್ಧ ಎರಡನೇ ಗೆಲುವು ಸಾಧಿಸಿ ಸೆಮಿಫೈನಲ್​ಗೆ ಲಗ್ಗೆ ಇಟ್ಟ ಭಾರತ,sports
ಫಿಫಾ ವಿಶ್ವಕಪ್ 2018: ಕ್ವಾರ್ಟರ್ ಫೈನಲ್​​ಗೇರಲು ಸ್ಪೇನ್-ರಷ್ಯಾ ನಡುವೆ ಸೆಣೆಸಾಟ,sports
5 ಕೋಟಿ ಬಜೆಟ್‍ನ 'ಹೈಪರ್' ಸಿನಿಮಾ ಜೂನ್ 29ಕ್ಕೆ ಬಿಡುಗಡೆ,entertainment
5 ಸ್ಟಾರ್​ ಗಿಟ್ಟಿಸಿಕೊಂಡ ಹೊಂಡಾ CR-V: ಯಾಕೆ ಗೊತ್ತಾ..?,tech
ಗಾಯಕಿ ಲತಾ ಮಂಗೇಶ್ಕರ್ ಹುಟ್ಟು ಹಬ್ಬದ ಅಪರೂಪದ ಕ್ಷಣಗಳು,entertainment
ಏಷ್ಯನ್ ಗೇಮ್ಸ್ 2018: ಭಾರತೀಯರು 65-70 ಪದಕವನ್ನು ತಮ್ಮದಾಗಿಸಲಿದ್ದಾರೆ; ನರೀಂದರ್ ಬಾತ್ರಾ,sports
ಅಂಡರ್-19 ಯೂಥ್ ಟೆಸ್ಟ್​: ಶ್ರೀಲಂಕಾ ವಿರುದ್ಧ ಸರಣಿ ಕೈವಶ ಮಾಡಿಕೊಂಡ ಭಾರತ ಅಂಡರ್-19,sports
'ಡಾ.ರಾಜ್ ವ್ಯಕ್ತಿತ್ವದ ಹಿಂದಿನ ವ್ಯಕ್ತಿ'ಯ ಅಪರೂಪದ ಕೆಲವು ಸಂಗತಿಗಳು,entertainment
ಟ್ರೆಂಡಿಂಗ್​ನಲ್ಲಿದೆ 'ಠಗ್ಸ್​ ಆಫ್​ ಹಿಂದೋಸ್ತಾನ್​' ಸಿನಿಮಾದ ಸುರಯ್ಯಾ ಹಾಡಿನ ಟೀಸರ್​..!,entertainment
ತೆರೆ ಮೇಲೆ ಯಜಮಾನನ ಅಭಿನಯಕ್ಕೆ ಹುಚ್ಚೆದ್ದು ಕುಣಿದ ಅಭಿಮಾನಿಗಳು,entertainment
‘ಅಜರುದ್ದೀನ್ ನಂತರ ಹೈದರಾಬಾದ್​ನ ಅತಿ ದೊಡ್ಡ ಕೊಡುಗೆ ಲಕ್ಷ್ಮಣ್’: ರಾಹುಲ್ ದ್ರಾವಿಡ್,sports
ಹರ್ಷಿಕಾ ಪೂಣಚ್ಚಗೆ ಪಾತ್ರ ನೀಡಿ ಪಲ್ಲಂಗಕ್ಕೆ ಕರೆದ ಬಾಲಿವುಡ್​ ಮಂದಿ  ,entertainment
ಟೀಂ ಇಂಡಿಯಾಗೆ ವಾಪಾಸಾಗುವ ಯುವಿ- ರೈನಾ ಕನಸಿನ ಹಾದಿಯಲ್ಲಿ ಮತ್ತೊಂದು ಸಂಕಷ್ಟ!,sports
ರಣಜಿ ಟ್ರೋಫಿ: ಡ್ರಾದಲ್ಲಿ ಅಂತ್ಯಕಂಡ ಕರ್ನಾಟಕ-ಮುಂಬೈ ಪಂದ್ಯ,sports
ಐಸಿಸಿ ಟೆಸ್ಟ್​​ ರ್ಯಾಂಕಿಂಗ್​ ಪ್ರಕಟ; ಮೊದಲ ಸ್ಥಾನದಿಂದ ಕೆಳಗಿಳಿದ ಕೊಹ್ಲಿ,sports
ಪಾಣಿಪತ್: ಬಾಲಿವುಡ್​ನಲ್ಲಿ ಬರಲಿದೆ ಮತ್ತೊಂದು ಐತಿಹಾಸಿಕ ಸಿನಿಮಾ,entertainment
"'ಭಾರತ ದೇಶದಲ್ಲಿ ಯಾಕಿದ್ದೀರಾ?, ಬೇರೆ ದೇಶಕ್ಕೆ ಹೋಗಿ.. ಅಲ್ಲೆ ಬದುಕಿ': ಚರ್ಚೆಗೆ ಗ್ರಾಸವಾಗಿದೆ ಕೊಹ್ಲಿ ಹೇಳಿಕೆ",sports
ವಾಟ್ಸ್​ ಆ್ಯಪ್​ನಲ್ಲಿರುವ ಈ ಆಯ್ಕೆ ತಿಳಿದಿದೆಯೇ.? ಕನ್ನಡದಲ್ಲೂ ಇನ್ಮುಂದೆ ಸುಲಭವಾಗಿ ಚಾಟ್​ ಮಾಡಬಹುದು,tech
ರಣಜಿ ಟ್ರೋಫಿ: ಛತ್ತೀಸ್​ಗಢ ವಿರುದ್ಧ 198 ರನ್​ಗಳ ಭರ್ಜರಿ ಜಯ ಸಾಧಿಸಿದ ಪಾಂಡೆ ಪಡೆ,sports
`ಸೂಯಿ ಧಾಗ'ಸಿನಿಮಾ:  ಪ್ರಚಾರಕ್ಕೆ ಅನುಷ್ಕಾ-ವರುಣ್​ ಆಯ್ಕೆ ಮಾಡಿಕೊಂಡಿದ್ದು ವಿಭಿನ್ನ ಮಾರ್ಗ..!,entertainment
ಶಿವಣ್ಣನ ಎಸ್​ಆರ್​​ಕೆ ಚಿತ್ರಕ್ಕೆ ಬಂದ ಟಾಲಿವುಡ್ ಚೆಲುವೆ ಈಶಾ ರೆಬ್ಬಾ..!,entertainment
ಆಸೀಸ್ ಸರಣಿಗೆ ಕೊಹ್ಲಿ ಬಳಗ: ವಿಶ್ವಕಪ್​​ಗೂ ಮುನ್ನ ಬಿಸಿಸಿಐಯಿಂದ ಕೊನೆಯ ಪ್ರಯೋಗ,sports
ವಿಷ್ಣು ದಾದಾಗೆ 68ನೇ ಜನುಮ ದಿನದ ಸಂಭ್ರಮ: ಇನ್ನೂ ಬಗೆಹರಿಯದ ಸ್ಮಾರಕ ನಿರ್ಮಾಣದ ವಿಷಯ..!,entertainment
ಇಂದು ರಾಜ್ಯಾದ್ಯಂತ ಸಿನಿಮಾ ಪ್ರದರ್ಶನ ಬಂದ್​: ಯಾವುದೇ ಹೊಸ ಸಿನಿಮಾಗಳ ರಿಲೀಸ್​ ಇಲ್ಲ,entertainment
ಹೃತಿಕ್​ ರೋಷನ್​ ಅಭಿನಯಿಸುತ್ತಿರುವ ‘ಸೂಪರ್ 30’ ಫಸ್ಟ್​ಲುಕ್ ಪೋಸ್ಟರ್ ಬಿಡುಗಡೆ,entertainment
31ನೇ ವರ್ಷಕ್ಕೆ ಕಾಲಿಟ್ಟ ಬಾಲಿವುಡ್ ಕ್ವೀನ್: ಕಂಗನಾ ಅವರ ಅಪರೂಪದ ಚಿತ್ರಪಟಗಳು,entertainment
ಭುವಿ ಮೋಡಿಗೆ ದಕ್ಷಿಣ ಆಫ್ರಿಕಾ ಉಡೀಸ್: ವಾಂಡರರ್ಸ್ ಟಿ-20 ಪಂದ್ಯದಲ್ಲಿ ಭಾರತಕ್ಕೆ 28 ರನ್​ಗಳ ಜಯ,sports
"ಅಪಘಾತಕ್ಕೀಡಾಗಿದ್ದ ನಾಯಿಗೆ ಚಿಕಿತ್ಸೆ ಕೊಡಿಸಿ, ಆಶ್ರಯ ನೀಡಿದ ಸ್ಯಾಂಡಲ್​ವುಡ್​ ನಟಿ ..!",entertainment
PHOTOS: ಜಿಮ್​ಗೆ ಹೋಗುವ ಮುನ್ನ ಕ್ಯಾಮೆರಾಗೆ ಪೋಸ್​ ಕೊಟ್ಟ ನಟಿ ಸಾರಾ ಅಲಿಖಾನ್​ರ ಕೆಲ ಚಿತ್ರಗಳು..!,entertainment
ಡಿಂಪಲ್ ಕ್ವೀನ್‍ಗೆ ಸಿಕ್ಕಿದೆ ವಿಶೇಷ ಆಫರ್​: ರಚಿತಾ ರಾಮ್​ ಸ್ಯಾಂಡಲ್‍ವುಡ್‍ನ ಹೊಸ ಪದ್ಮಾವತಿ!,entertainment
PHOTOS: ಕ್ರಿಕೆಟಿಗ ಯುವರಾಜ್ ಸಿಂಗ್ ಹುಟ್ಟು ಹಬ್ಬದ ಅಪರೂಪದ ಚಿತ್ರಗಳು,sports
ಐಪಿಎಲ್​​ನಲ್ಲಿ ಈವರೆಗೆ ಶತಕ ಬಾರಿಸದ ಭಾರತೀಯ ಸ್ಟಾರ್ ಬ್ಯಾಟ್ಸ್​ಮನ್​ಗಳು ಯಾರು ಗೊತ್ತಾ?,sports
Video: ಯಂಗ್​ ಇಂಡಿಯಾಗೆ ಫಿಟ್​ನೆಟ್​ ಸವಾಲೆಸೆದ ಜೂನಿಯರ್​ ದೇವಗನ್​,entertainment
ಭಾರತದ ಆರು ಮಂದಿ ಕ್ರಿಕೆಟ್​ ಆಟಗಾರರೇ ಸಾಮಾಜಿಕ ಜಾಲತಾಣಗಳಲ್ಲೂ ಟಾಪ್!,sports
ಮಳೆ ಸಂತ್ರಸ್ತರ ನೆರವಿಗೆ ಮನವಿ ಮಾಡಿದ ಚಂದನವನದ ನಟ-ನಟಿಯರು..!,entertainment
ನೆಚ್ಚಿನ ನಟಿಯನ್ನು ನೋಡಲು ಶೂಟಿಂಗ್​ ಬರುತ್ತಿದ್ದ ಅಭಿಮಾನಿ,entertainment
ನೀಲಿ ಸಿನಿಮಾಗೆ ಒಪ್ಪಿದ ಸನ್ನಿ ಲಿಯೋನ್​: ಮಗಳ ನಿರ್ಧಾರದಿಂದ ಬೇಸತ್ತ ತಾಯಿ ಮಾಡಿದ್ದೇನು ಗೊತ್ತಾ?,entertainment
ಇವರೇ ನೋಡಿ ವಿಶ್ವದ ಟಾಪ್- 5 ಹಾಟ್ ನಿರೂಪಕಿಯರು,sports
ಖ್ಯಾತ ಚಲನಚಿತ್ರ ತಾರೆ ಉಮಾಶ್ರೀ ಉಗ್ರಾವತಾರ ನೋಡಲು ಮುಗಿ ಬಿದ್ದ ಅಭಿಮಾನಿಗಳು,entertainment
ಭಾರತ-ಇಂಗ್ಲೆಂಡ್ ನಡುವಣ 5ನೇ ಟೆಸ್ಟ್​ನ 3ನೇ ದಿನದಾಟದ ಚಿತ್ರಪಟಗಳು,sports
ತಣ್ಣಗಾಗದ 'ಬಾಸ್' ವಿವಾದ : ದರ್ಶನ್ ಅಭಿಮಾನಿಗಳಿಂದ ರಸ್ತೆಗೆ 'ಬಾಸ್'​ ಎಂದು ಹೂವಿನಲಂಕಾರ,entertainment
ರಣವೀರ್​ ಸಿಂಗ್​ಗೆ ಮುತ್ತು ಕೊಟ್ಟಿದ್ದ ಪೋರಿ ವಾಣಿ ಕಪೂರ್​ ಈಗ ರಣಬೀರ್​ ಜತೆ ರೊಮ್ಯಾನ್ಸ್​ ಮಾಡಲಿದ್ದಾರೆ,entertainment
Photos: ಹುಟ್ಟುಹಬ್ಬದ ಸಂಭ್ರಮದಲ್ಲಿರುವ ಕನ್ನಡದ ಹುಡುಗಿ ದೀಪಿಕಾರ ಚಿಕ್ಕಂದಿನ ಚಿತ್ರಗಳು ..!,entertainment
ಮತ್ತೆ ಹಾಡಿತು ಕೋಗಿಲೆ ; ಆಡುವ ಗೊಂಬೆಗೆ ಹಾಡಿದ ರಾಘಣ್ಣ,entertainment
ಆಸ್ಕರ್ ವಿಜೇತೆ ಒಲಿವಿಯಾ ಮುತ್ತಜ್ಜಿ ಹುಡುಕಲು ಲಂಡನ್​ನಿಂದ ಬಿಹಾರದ ಕುಗ್ರಾಮಕ್ಕೆ ಬಂದ್ರು!,entertainment
ಒನ್​ಪ್ಲಸ್​ 7 ಸ್ಮಾರ್ಟ್​ ಫೋನ್​ ಬಿಡುಗಡೆಗೆ ತಯಾರಿ;  5G ಸಪೋರ್ಟ್​ ಜೊತೆಗೆ ಹೊಸ ಫೀಚರ್​ ಅಳವಡಿಕೆ,tech
#MeToo: ಶೃತಿ ಹರಿಹರನ್ ಗೆ ಕಿರಿಕ್ ಹುಡುಗಿ ಸಂಯುಕ್ತಾ ಹೆಗ್ಡೆ ಬೆಂಬಲ,entertainment
ಕಣ್ಣೀರಿಟ್ಟ ಟೀಂ ಇಂಡಿಯಾದ ಪುಟ್ಟ ಅಭಿಮಾನಿಯನ್ನು ಭೇಟಿಯಾದ ಅಫ್ಘಾನ್ ಆಟಗಾರರು,sports
ಹಸೆಮಣೆ ಏರಲಿರುವ ಸೋನಮ್​ ಕಪೂರ್: ಈ ಸುಂದರಿಯ ನಿದ್ದೆ ಕದ್ದ ಚೋರ ಯಾರು?,entertainment
ಭರ್ಜರಿ ಆಫರ್: 13 ಸಾವಿರ ಬೆಲೆಯ ಸ್ಮಾರ್ಟ್​ಫೋನ್​ಗೆ ಕೇವಲ 999 ರೂ..!,tech
‘ಸೂಪರ್ ಸ್ಟಾರ್’ ರಜನಿಕಾಂತ್ ಎದುರು ತೊಡೆತಟ್ಟಿ ನಿಂತ ಕನ್ನಡದ ಹುಡುಗ; ಭೈರವ ಗೀತ-2.0 ಚಿತ್ರಗಳು ಒಂದೇ ಬಾರಿಗೆ ಬಿಡುಗಡೆ,entertainment
ಎಲ್ಲಾ ಮಾದರಿಯ ಕ್ರಿಕೆಟ್​​ಗೆ ವಿದಾಯ ಘೋಷಿಸಿದ 'ಮೊಹಮ್ಮದ್ ಕೈಫ್',sports
ದಿನಕ್ಕೆ 150ಕ್ಕೂ ಅಧಿಕ ಬಾರಿ ಸ್ಮಾರ್ಟ್​ಫೋನ್​ ಚೆಕ್​ ಮಾಡುವ ವಿದ್ಯಾರ್ಥಿಗಳು!,tech
ಇಂದು ಸಂಜೆ 'ರಾಮ್​-ಲೀಲಾ' ಆರತಕ್ಷತೆಗೆ ಸಾಕ್ಷಿಯಾಗಲಿರುವ ಲೀಲಾ ಪ್ಯಾಲೆಸ್..!,entertainment
ಹಾಲಿವುಡ್​ನ 'ದ ಕಾಸ್ಟ್​ ಅವೆ' ಚಿತ್ರವನ್ನು ಹೋಲುವ 'ರಾಜು ಕನ್ನಡ ಮೀಡಿಯಂ',entertainment
ಫಿಫಾ ವಿಶ್ವಕಪ್ 2018: ಉದ್ಘಾಟನಾ ಸಮಾರಂಭದ ಕೆಲ ಚಿತ್ರಪಟಗಳು,sports
VIDEO: ಪಂದ್ಯ ಮುಗಿಯುತ್ತಿದ್ದಂತೆ ಸ್ಟೇಡಿಯಂನಲ್ಲಿ ಹೊಡೆದಾಡಿಕೊಂಡ ಅಭಿಮಾನಿಗಳು,sports
ಒಂದುಗೂಡಿವೆ ಜಿಯೋ ಮ್ಯೂಸಿಕ್ - ಸಾವನ್: ಕಲಾವಿದರಿಗಾಗಿ ದಕ್ಷಿಣ ಏಷ್ಯಾದಲ್ಲೇ ಅತಿದೊಡ್ಡ ವೇದಿಕೆ ಸೃಷ್ಟಿ,tech
ಟೀಂ ಇಂಡಿಯಾ ಆಟಗಾರರನ್ನು ಕೆಣಕಿದರೆ ಶಿಕ್ಷೆ ಕಟ್ಟಿಟ್ಟ ಬುತ್ತಿ..!,sports
11 ವರ್ಷಗಳ ಬಳಿಕ ಪಾಕಿಸ್ತಾನಕ್ಕೆ ಕಾಲಿಡಲಿದ್ದಾರೆ ಎಬಿ ಡಿವಿಲಿಯರ್ಸ್​​​,sports
ಮೊದಲ 5ಜಿ ಮೊಬೈಲ್​ ಪರೀಕ್ಷೆ ನಡೆಸಿದ ಒಪ್ಪೊ,tech
ಬ್ಯಾಟಿಂಗ್-ಬೌಲಿಂಗ್​ನಲ್ಲಿ ಮಿಂಚಿದ ಭಾರತೀಯರು: ಸರಣಿಯಲ್ಲಿ 2-0 ಮುನ್ನಡೆ,sports
ಸೋನಮ್​ ವಿವಾಹಕ್ಕೆಂದು ವೀರ್​ ದಿ ವೆಡ್ಡಿಂಗ್​ ಚಿತ್ರೀಕರಣಕ್ಕೆ ಟಾಟಾ ಹೇಳಲಿದ್ದಾರಾ ಬೇಬೊ?,entertainment
ದಿಗಂತ್​-ರಾಗಿಣಿ ಲಿಫ್ಟ್​ನಲ್ಲಿ ಮಾಡಿದ್ದೇನು: ಇದನ್ನು ನೋಡಿದ ಐಂದ್ರಿತಾ ದಂಗಾಗಿದ್ದು ಏಕೆ?,entertainment
(Live) ಕಾವೇರಿದ 'ಕಾಲಾ'; ರಜನಿಕಾಂತ್​ ಚಿತ್ರಕ್ಕೆ ರಾಜ್ಯದಲ್ಲಿ ಭಾರೀ ವಿರೋಧ; ತಣ್ಣಗಾಯಿತಾ ಹೋರಾಟ-ಕಾಲಾನ ಹಾದಿ ಸುಗಮ,entertainment
